grammar	tier	parity	fix
ada	CLEAN	30/30	Ada aggregate/index-constraint compatibility normalized to C oracle; Docker tier parity verified 2026-06-11
agda	IV-scanner	2/40	layout scanner, deep port needed (maple)
angular	IV-recovery?	37/40	Angular non-null assertion and strong-text ampersand recovery normalization clear navigation-list.component.html and home.component.html; ext=.component.html,.ng.html; remaining residuals are broad root/document recovery cases (see spec)
apex	CLEAN	30/30	Apex generic local declarations and .class literal compatibility normalized to C oracle; Docker parity verified 2026-06-11
arduino	CLEAN	40/40	in ratchet
asm	IV-recovery	0/40	faithful C error-cost version competition (see spec)
astro	CLEAN	40/40	in ratchet
authzed	CLEAN	30/30	Authzed clean-root definition coalescing promoted; Docker tier-scan parity verified 2026-06-11
awk	CLEAN	29/29	AWK T.gawk recovered shell command compatibility normalized to C oracle; Docker tier parity verified 2026-06-12
bash	IV-recovery?	31/40	ext=.sh; Bash command-name concatenation normalization cleared ci/run-static-analysis.sh; split Docker C-oracle verification 2026-06-12 improved 27/34 + 3/6 to 28/34 + 3/6. Remaining divergences are recovery-shape: go ERROR root where C recovers program (lib.sh, git-prompt.sh, git-subtree.sh, git-filter-branch.sh, git-gui askpass/askyesno) plus child-count/error-shape diffs; 1 trunc (cmd-list.sh no_stacks_alive).
bass	CLEAN	40/40	in ratchet
beancount	CLEAN	40/40	in ratchet
bicep	CLEAN	40/40	C-recovery gate keeps extension samples under infrastructure roots with localized ERROR regions (verified 2026-06-12)
bitbake	CLEAN	40/40	BitBake recovered shell-function/function-flag shape normalization cleared remaining 3 residuals; Docker D-tier C-oracle parity verified 2026-06-13
blade	IV-recovery?	17/30	ext=.blade.php; faithful C error-cost version competition (see spec)
brightscript	IV-recovery?	0/30	ext=.brs; faithful C error-cost version competition (see spec)
c	IV-recovery	21/40	faithful C error-cost version competition (see spec)
c_sharp	IV-recovery	30/40	C# scoped/ref type, generic invocation initializer, and identifier is-pattern normalizations lift aggressive real-corpus deep parity 15/26 to 18/26 while focused C-oracle remains 20/20; full tier row remains IV pending a 40-case tier rescan, with residuals in recovery/error-root plus switch and try/finally shapes
caddy	IV-recovery?	9/30	ext=Caddyfile; faithful C error-cost version competition (see spec)
cairo	IV-recovery?	0/30	ext=.cairo; faithful C error-cost version competition (see spec)
capnp	CLEAN	40/40	in ratchet
chatito	CLEAN	5/5	trailing EOF alias-body recovery normalized to C on dateBooking_large.chatito
circom	IV-shape?	11/30	ext=.circom; preliminary
clojure	CLEAN	40/40	in ratchet
cmake	CLEAN	40/40	in ratchet
cobol	IV-version	0/40	corpus is CICS/embedded-SQL COBOL the pinned grammar doesn't support — 12/12 sampled root-ERROR in C too (maple)
comment	CLEAN	40/40	full-parse stack cap=2 verified 2026-06-12; parity clean, perf floor pending
commonlisp	IV-recovery?	22/30	ext=.lisp,.cl; faithful C error-cost version competition (see spec)
cooklang	IV-recovery	0/3	ext=.cook; stackcap disproven (cap 2 not kept); C-recovery gate tried and REVERTED (parity stays 0/3, run 20260610T091230Z-redwood-wave1b) though it helps: trunc 3 -> 2, all roots become named recipe, complex_test_recipe now differs only by EndByte 2522 vs 2523 (the missing-trailing-newline EOF byte); frontmatter/test_recipe still truncate early (go EndByte 2383/2644 vs c 2799/2994) — go stops mid-file where C absorbs on; stage-2 EOF-byte + truncation work, then re-enable
corn	CLEAN	23/23	C-recovery gate plus quoted whole-path path_seg normalization clears quoted_keys.corn
cpon	CLEAN	11/11	null literal leaf child normalized to C oracle
cpp	IV-recovery	10/40	faithful C error-cost version competition (see spec)
crystal	IV-shape?	19/40	cap=2 landed (was unmeasurable: markd entities.cr 111KB uniform hash literal never finishes at default cap >240s, 95% CPU in glr.go merge-equiv frontier rescans, ~2x input -> ~25x time; cap2 parses it in ~130ms); Crystal hash/named_tuple opening-brace compatibility pass cleared decode.cr, entities.cr, legacy.cr, renderer.cr, and history.cr with no new file-level divergers. MEASURE-DTIER N=40: medianRatio 5.42x aggRatio 18.34x trunc=0 panics=0; remaining 21 div not stack-budget: ERROR-root where C parses clean (spec_helper.cr go-cc=17 c-cc=7, html_entities.cr, node.cr; 18 errTree) plus tuple/inline hash span residuals and recovery shape gaps.
css	CLEAN	40/40	in ratchet; C-recovery gate (stage-2 redwood)
csv	CLEAN	40/40	in ratchet
cuda	IV-recovery?	17/30	ext=.cu,.cuh; faithful C error-cost version competition (see spec)
cue	CLEAN	40/40	in ratchet; C-recovery gate (stage-3 redwood)
cylc	IV-recovery?	4/30	ext=.cylc; faithful C error-cost version competition (see spec)
d	IV-recovery?	14/30	ext=.d; faithful C error-cost version competition (see spec)
dart	IV-recovery?	11/30	ext=.dart; faithful C error-cost version competition (see spec)
desktop	CLEAN	40/40	in ratchet
devicetree	CLEAN	40/40	in ratchet
dhall	CLEAN	40/40	in ratchet; Unicode anonymous terminal display names normalized to C oracle
diff	CLEAN	40/40	in ratchet
disassembly	IV-version	0/40	German-locale riscv objdump corpus the grammar doesn't model — 10/10 C-error (maple)
djot	IV-scanner?	0/40	ext=.dj,.djot; 0/40 with 39 truncations (node_limit persists at stack cap 2: 8.4KB file blows the node budget); markdown-class inline ambiguity — re-port stateful external scanner from pinned upstream; also IV-perf component (maple)
dockerfile	IV-recovery?	0/30	ext=Dockerfile,.dockerfile; faithful C error-cost version competition (see spec)
doxygen	CLEAN	30/30	Doxygen whole-block comment ERROR root compatibility; Docker C-oracle parity verified 2026-06-11
dtd	CLEAN	3/3	tiny curated DTD corpus clean after C recovery election plus `%entity;` elementdecl recovery-shape normalization (verified 2026-06-11)
earthfile	IV-recovery?	0/30	ext=Earthfile; faithful C error-cost version competition (see spec)
ebnf	IV-recovery?	0/30	ext=.ebnf; faithful C error-cost version competition (see spec)
editorconfig	CLEAN	40/40	in ratchet
eds	CLEAN	1/1	in ratchet
eex	CLEAN	40/40	in ratchet
elisp	CLEAN	40/40	in ratchet
elixir	IV-recovery	9/40	Elixir _newline_before_comment extra filtering lifted 0/40 to 9/40 (Docker C-oracle 2026-06-12); remaining 31 are dominated by Go ERROR/root fragmentation where C parses source clean (27 errTree), 3 no_stacks_alive truncations, plus one accepted span-shape residual (engine.ex body starts at 3676 vs C 3667). Representative smart_engine_test.exs: C closes fn -> body as anonymous_function while Go treats end as identifier and cascades into quoted-string recovery.
elm	CLEAN	8/8	Elm external lex-state table plus repeatable zero-width _virtual_end_section close clear Deps.elm without broad C recovery (verified 2026-06-11)
elsa	IV-recovery?	12/27	ext=.lc; faithful C error-cost version competition (see spec)
embedded_template	CLEAN	40/40	in ratchet
enforce	CLEAN	40/40	enforce const int formal-parameter compatibility normalization clears declMethod.txt (verified 2026-06-11)
erlang	IV-recovery	39/40	binary_SUITE memory-budget trunc; bif_SUITE replacement-clause ambiguity-selection cleared 2026-06-12
facility	CLEAN	6/6	locked real-corpus parity clean (verified 2026-06-11)
faust	CLEAN	40/40	in ratchet
fennel	IV-recovery?	8/30	ext=.fnl; faithful C error-cost version competition (see spec)
fidl	CLEAN	40/40	versioned layout modifiers normalized to C oracle recovery shape
firrtl	IV-recovery?	5/27	ext=.fir; faithful C error-cost version competition (see spec)
fish	CLEAN	40/40	in ratchet
foam	CLEAN	40/40	in ratchet
forth	CLEAN	40/40	in ratchet; cap=2 plus root-leading-trivia normalization and missing end_definition recovery for unterminated word_definition (verified 2026-06-11)
fortran	CLEAN	40/40	in ratchet
fsharp	IV-perf	0/8	timeout-or-fail at 1200s canonical budget
gdscript	CLEAN	40/40	repeatable zero-width _dedent in DFA external loop guard; scanner token order aligned with upstream C (verified 2026-06-11)
git_config	CLEAN	7/7	in ratchet
git_rebase	CLEAN	40/40	in ratchet
gitattributes	CLEAN	40/40	in ratchet
gitcommit	CLEAN	13/13	in ratchet
gitignore	CLEAN	40/40	in ratchet
gleam	CLEAN	40/40	in ratchet
glsl	IV-recovery	11/40	faithful C error-cost version competition (see spec)
gn	CLEAN	40/40	in ratchet; scanner aligned with upstream C (maple)
go	CLEAN	40/40	Go top-level recovery now replaces signature-only function fragments and recursively recovers for-loop bodies (verified 2026-06-11)
godot_resource	CLEAN	40/40	in ratchet; scanner aligned with upstream C (maple)
gomod	CLEAN	40/40	in ratchet
graphql	CLEAN	1/1	GraphQL C-recovery triple-quote/block-string handling verified 2026-06-11
groovy	IV-recovery	4/40	faithful C error-cost version competition (see spec)
hack	CLEAN	40/40	in ratchet; C-recovery gate (stage-2 redwood)
hare	IV-recovery	20/40	faithful C error-cost version competition (see spec)
haskell	IV-scanner	11/40	layout scanner, deep port needed (maple)
haxe	IV-recovery	7/40	pins at upstream HEAD; C at same pin parses corpus clean — runtime fidelity, not version (oak 2026-06-10)
hcl	CLEAN	40/40	in ratchet
heex	CLEAN	40/40	in ratchet
hlsl	CLEAN	40/40	C recovery election plus HLSL result-shape compatibility normalization clears default cgo oracle gate (verified 2026-06-12)
html	IV-recovery	0/40	faithful C error-cost version competition (see spec)
http	CLEAN	11/11	full available HTTP corpus parity in Docker after section-fold compatibility fix (2026-06-11)
hurl	IV-recovery	14/40	file, trailing error-root wrapper normalization cleared one exact C-oracle residual; remaining 26 are root recovery/child-count shape with 1 no_stacks_alive truncation
hyprlang	CLEAN	2/2	in ratchet; C-recovery gate keeps hyprland.conf under configuration root and hyprlang boolean assignment value normalization matches C boolean literal shape (verified 2026-06-12)
ini	CLEAN	11/11	mypy-style continuation recovery normalized for both residual witnesses; bounded cgo oracle parity medianRatio=3.98x, verified 2026-06-12
janet	CLEAN	40/40	in ratchet
java	CLEAN	40/40	in ratchet; java full-parse stack cap 14
javascript	CLEAN	40/40	in ratchet
jinja2	IV-recovery	3/40	faithful C error-cost version competition (see spec)
jq	CLEAN	40/40	in ratchet
jsdoc	CLEAN	40/40	in ratchet; C-recovery gate (stage-2 redwood)
json	CLEAN	40/40	in ratchet
json5	CLEAN	40/40	in ratchet
jsonnet	IV-recovery?	39/40	canonical-frame demotion (one-time reset)
julia	IV-recovery	31/40	Julia macro argument juxtaposition and single-row index vector normalization clear reinfer.jl and verify.jl; remaining residuals are recovery-class divergences and 2 truncations
just	CLEAN	8/8	in ratchet; C-recovery gate plus just top-level line-break span normalization
kconfig	IV-recovery?	13/30	ext=Kconfig; faithful C error-cost version competition (see spec)
kdl	IV-recovery	12/40	pins at upstream HEAD; C at same pin parses corpus clean — runtime fidelity, not version (oak 2026-06-10)
kotlin	CLEAN	40/40	Kotlin C-recovery election preserves ReactorPlaysScrabble.kt's class/member envelope; recovered generic call suffix and direct parenthesized type-argument normalizers clear the remaining local call shapes. D-tier C-oracle parity verified 2026-06-13 with no divergences, truncation, error trees, or panics.
ledger	CLEAN	4/4	in ratchet; ledger date-suffix and year-directive recovery normalization
less	IV-recovery?	10/40	faithful C error-cost version competition (see spec)
linkerscript	IV-recovery	8/40	C-recovery gate lifts baseline 1/40 to 8/40 with a strict subset of divergers and no truncation/panic (Docker 2026-06-13); residuals are local ERROR namedness, root/section child-count, and empty-root span differences.
liquid	IV-recovery?	11/36	faithful C error-cost version competition (see spec)
llvm	CLEAN	40/40	in ratchet
lua	CLEAN	40/40	in ratchet; scanner.c port + DFA routing (maple 2026-06-10)
luau	CLEAN	40/40	C-recovery gate localizes unsupported class syntax; recovered `end` identifier shape and Luau table-constructor iteration budget match C oracle (verified 2026-06-12)
make	IV-recovery?	19/20	ext=Makefile,.mk; C-recovery gate tried and REVERTED (parity-neutral 19/20, runs 20260610T090208Z/091230Z redwood-wave1/1b): witness Makefile (129KB, git's) root ERROR cc go=5029 vs makefile c=2114 — signature identical with gate on/off, so the divergence is decided before/outside the gated recover path (retry full-parse or pre-error fragmentation); needs witness-level diagnosis, not more gate work
markdown	CLEAN	40/40	in ratchet; verified after willow shape fixes
markdown_inline	CLEAN	40/40	Single-tilde link destinations stay literal so docs/src/index.md no longer truncates; Docker D-tier C-oracle parity verified 2026-06-13
matlab	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
mermaid	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
meson	IV-recovery?	1/30	ext=meson.build; faithful C error-cost version competition (see spec)
mojo	IV-recovery?	30/40	post-repin residual
move	IV-recovery?	14/40	post-repo-switch residual
nginx	CLEAN	40/40	in ratchet
nickel	CLEAN	40/40	in ratchet
nim	IV-recovery?	3/40	faithful C error-cost version competition (see spec)
nix	CLEAN	40/40	in ratchet
norg	IV-scanner	0/2	mixed scanner/version, 2-file corpus (maple)
nushell	IV-recovery?	5/40	faithful C error-cost version competition (see spec)
objc	IV-recovery	2/40	C-recovery gate plus ObjC cap-2 first pass clears Source/CXXException.m; reproduced on origin/parity/c-oracle-clears fb07f2fd 2026-06-13 with default gate: 2/40, trunc 0, panics 0. The prior forced gate at default cap improved 1/40 -> 2/40 but truncated GSXML.m at memory_budget; cap 2 completes GSXML.m with goStop=accepted.
ocaml	CLEAN	40/40	in ratchet
odin	IV-recovery?	13/40	faithful C error-cost version competition (see spec)
org	IV-recovery?	5/39	faithful C error-cost version competition (see spec)
pascal	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
pem	CLEAN	40/40	in ratchet
perl	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
php	CLEAN	40/40	in ratchet
pkl	CLEAN	40/40	in ratchet; verified after willow shape fixes
powershell	IV-recovery?	25/40	PowerShell invocation target path_command_name plus enum keyword span compatibility clears 4 files with zero new divergers; remaining gaps are recovery/root span and command/statement-list shape
prisma	CLEAN	40/40	in ratchet
prolog	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
promql	CLEAN	25/25	in ratchet; verified strict real-corpus 25/25 and direct C 20/20 after preserving PromQL query pass-through reductions
properties	CLEAN	40/40	in ratchet
proto	IV-recovery?	26/40	faithful C error-cost version competition clears unittest_custom_options_proto3.proto with strict subset/no new divergers; remains Tier IV because residual parse-incorrect errTree files remain
pug	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
puppet	CLEAN	40/40	in ratchet
purescript	IV-recovery?	1/40	faithful C error-cost version competition (see spec)
python	CLEAN	40/40	in ratchet
ql	CLEAN	40/40	in ratchet; verified after willow shape fixes
r	CLEAN	40/40	in ratchet; verified after willow shape fixes
racket	CLEAN	40/40	in ratchet
regex	IV-perf	0/1	ext=.regex; single-file BOM corpus, but BOM preprocessing is not the cause: StartByte 3 is already correct. C completes pattern->term to byte 2255; Go truncates before EOF reductions/materialization, with probes stopping at iteration_limit (3:391), node_limit after higher iteration budget (3:583, ~2035604 KB RSS), and cap-2 no_stacks_alive (3:2049).
rego	IV-recovery?	7/40	faithful C error-cost version competition (see spec)
requirements	CLEAN	9/9	in ratchet; first IV-recovery clear via faithful C-recovery port (errorCostCompetitionLanguage gate)
rescript	IV-recovery?	29/40	Rescript value_identifier_path alias normalization cleared clean-root shape residuals; remaining 11/40 are Go root ERROR vs C source_file with trunc=0/panics=0, requiring faithful C error-cost version competition
robot	IV-recovery?	29/40	Robot escaped nested variable normalization cleared one C error-shape residual; remaining 11/40 require faithful C error-cost version competition (see spec)
ron	CLEAN	40/40	in ratchet
rst	IV-perf	1/8	timeout-or-fail at 1200s canonical budget
ruby	CLEAN	40/40	in ratchet; inline Ruby when-then body StartByte normalized to C oracle
rust	IV-recovery?	21/40	faithful C error-cost version competition (see spec)
scala	IV-recovery?	25/40	faithful C error-cost version competition (see spec)
scheme	IV-perf	28/28	Available Scheme gates clear 28/28 after merge cap and C recovery cost competition, but the intended .scm/.ss surface includes mats/oop.ss; Docker C-oracle diagnostic on 2026-06-12 still shows Go iteration_limit truncation at byte 3045 vs C full parse with recovery errors, so Scheme remains Tier IV under the hard parity invariant.
scss	IV-recovery?	6/40	faithful C error-cost version competition (see spec)
smithy	CLEAN	40/40	in ratchet
solidity	CLEAN	40/40	Solidity-only call/type-cast/new-expression compatibility pass promoted; Docker real-corpus strict parity verified 2026-06-11
sparql	CLEAN	40/40	in ratchet
sql	IV-recovery?	8/40	faithful C error-cost version competition (see spec)
squirrel	CLEAN	40/40	in ratchet
ssh_config	CLEAN	2/2	C-recovery gate promoted; tiny lock-filtered corpus clean (verified 2026-06-11)
starlark	CLEAN	40/40	in ratchet
svelte	CLEAN	40/40	in ratchet; recovered raw-text ERROR compatibility normalized to C oracle (verified 2026-06-11)
swift	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
tablegen	CLEAN	40/40	in ratchet
tcl	IV-recovery?	10/40	faithful C error-cost version competition (see spec)
teal	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
templ	IV-recovery?	35/40	dangling quote tag_start attribute compatibility normalization cleared the last local shape residual; remaining 5/40 are broad root ERROR recovery cases; Docker D-tier verified 2026-06-13 with trunc=0 panics=0
textproto	CLEAN	40/40	in ratchet
thrift	CLEAN	40/40	in ratchet
tlaplus	IV-perf	14/40	ext=.tla; reproduced on origin/parity/c-oracle-clears b52df6d9: 14/40, median 201x, agg 847x, trunc 21/40, max RSS 5.9GB; cap 2 stays 14/40 (trunc 20/40), so not IV-stackcap. Dominant family is early stop under GLR churn (memory_budget, iteration_limit, node_limit, no_stacks_alive) where C parses full files; residual accepted divergences include scanner/shape-sensitive operator forms such as DOMAIN(f) bound_nonfix_op vs bound_prefix_op.
tmux	IV-recovery?	0/1	ext=.tmux.conf,tmux.conf; faithful C error-cost version competition (see spec)
todotxt	CLEAN	40/40	in ratchet
toml	CLEAN	11/11	in ratchet
tsx	CLEAN	40/40	in ratchet
turtle	CLEAN	40/40	in ratchet
twig	CLEAN	40/40	in ratchet
typescript	CLEAN	40/40	typed-arrow merge cap selection and destructuring-pattern normalization; verified 2026-06-12
typst	IV-recovery?	35/40	nested list item result normalization verified 2026-06-12; zero-width group comma normalization cleared docs/components/section.typ 2026-06-13; residuals: docs/components/example.typ root ERROR vs C source_file plus 4 truncations
uxntal	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
v	IV-recovery?	25/40	faithful C error-cost version competition (see spec)
verilog	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
vhdl	IV-recovery?	14/40	faithful C error-cost version competition (see spec)
vimdoc	IV-recovery?	0/30	ext=.txt; faithful C error-cost version competition (see spec)
vue	CLEAN	40/40	in ratchet
wat	IV-recovery?	4/34	faithful C error-cost version competition (see spec)
wgsl	IV-recovery	37/40	WGSL recovered-call assignment and u32 constructor argument normalizations cleared radiosity.wgsl; remaining 3/40 are blur/normalMap/particle root recovery choices, trunc=0 panics=0 (verified 2026-06-13)
wolfram	CLEAN	4/4	Wolfram split infix compatibility pass promoted; Docker real-corpus strict parity verified 2026-06-11
xml	CLEAN	40/40	in ratchet
yaml	CLEAN	40/40	in ratchet
yuck	CLEAN	40/40	in ratchet
zig	CLEAN	40/40	in ratchet; C-recovery gate (stage-2 redwood)
